,img_path,label,type,pred,error
0,train_data/1.png,3,1,3,0
1,train_data/2.png,7,3,5,2
2,train_data/3.png,9,2,9,0
3,train_data/4.png,9,1,6,3
4,train_data/5.png,10,1,10,0
5,train_data/6.png,8,3,8,0
6,train_data/7.png,2,3,2,0
7,train_data/8.png,6,2,5,1
8,train_data/9.png,10,2,9,1
9,train_data/10.png,4,3,4,0
10,train_data/11.png,8,3,6,2
11,train_data/12.png,2,2,3,-1
12,train_data/13.png,5,2,5,0
13,train_data/14.png,9,2,9,0
14,train_data/15.png,0,3,0,0
15,train_data/16.png,4,2,4,0
16,train_data/17.png,3,2,3,0
17,train_data/18.png,9,1,9,0
18,train_data/19.png,4,3,4,0
19,train_data/20.png,5,3,5,0
20,train_data/21.png,7,2,7,0
21,train_data/22.png,6,2,6,0
22,train_data/23.png,3,3,3,0
23,train_data/24.png,5,1,5,0
24,train_data/25.png,10,2,9,1
25,train_data/26.png,4,3,3,1
26,train_data/27.png,1,1,1,0
27,train_data/28.png,3,2,3,0
28,train_data/29.png,3,3,0,3
29,train_data/30.png,0,3,1,-1
30,train_data/31.png,2,3,2,0
31,train_data/32.png,10,2,9,1
32,train_data/33.png,6,1,5,1
33,train_data/34.png,7,1,7,0
34,train_data/35.png,2,3,2,0
35,train_data/36.png,3,3,2,1
36,train_data/37.png,9,2,8,1
37,train_data/38.png,3,2,3,0
38,train_data/39.png,9,2,9,0
39,train_data/40.png,2,2,2,0
40,train_data/41.png,6,1,5,1
41,train_data/42.png,5,3,5,0
42,train_data/43.png,2,2,2,0
43,train_data/44.png,0,2,1,-1
44,train_data/45.png,8,2,7,1
45,train_data/46.png,10,2,9,1
46,train_data/47.png,3,3,3,0
47,train_data/48.png,3,2,3,0
48,train_data/49.png,9,3,8,1
49,train_data/50.png,7,2,7,0
50,train_data/51.png,2,2,2,0
51,train_data/52.png,10,2,8,2
52,train_data/53.png,3,2,3,0
53,train_data/54.png,3,1,3,0
54,train_data/55.png,9,3,9,0
55,train_data/56.png,3,1,3,0
56,train_data/57.png,8,3,7,1
57,train_data/58.png,7,2,6,1
58,train_data/59.png,8,3,7,1
59,train_data/60.png,8,2,7,1
60,train_data/61.png,10,3,10,0
61,train_data/62.png,9,2,9,0
62,train_data/63.png,8,3,5,3
63,train_data/64.png,3,1,3,0
64,train_data/65.png,9,2,9,0
65,train_data/66.png,4,3,3,1
66,train_data/67.png,8,3,6,2
67,train_data/68.png,4,3,3,1
68,train_data/69.png,2,1,2,0
